date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2024-05-09,3664.56,11.74,32.22,21.16,11.69,1.25,2.82,2.13,8.517888,csi_300,沪深300,Legulegu via AkShare
2024-05-10,3666.28,11.76,32.16,21.19,11.71,1.25,2.81,2.11,8.503401,csi_300,CSI 300,Legulegu via AkShare
2024-05-13,3664.69,11.76,32.16,21.13,11.7,1.25,2.81,2.15,8.503401,csi_300,CSI 300,Legulegu via AkShare
2024-05-14,3657.05,11.72,32.16,21.04,11.66,1.25,2.81,2.13,8.532423,csi_300,CSI 300,Legulegu via AkShare
2024-05-15,3626.06,11.63,31.69,20.9,11.58,1.24,2.78,2.1,8.598452,csi_300,CSI 300,Legulegu via AkShare
2024-05-16,3640.36,11.67,31.63,20.77,11.62,1.24,2.78,2.09,8.56898,csi_300,CSI 300,Legulegu via AkShare
2024-05-17,3677.97,11.77,31.92,20.81,11.71,1.25,2.81,2.11,8.496177,csi_300,CSI 300,Legulegu via AkShare
2024-05-20,3690.96,11.82,32.05,20.87,11.77,1.26,2.83,2.13,8.460237,csi_300,沪深300,Legulegu via AkShare
2024-05-21,3676.16,11.79,31.78,20.71,11.74,1.25,2.81,2.12,8.481764,csi_300,CSI 300,Legulegu via AkShare
2024-05-22,3684.45,11.8,31.99,20.68,11.75,1.26,2.82,2.15,8.474576,csi_300,CSI 300,Legulegu via AkShare
2024-05-23,3641.79,11.69,31.44,20.53,11.63,1.24,2.78,2.11,8.55432,csi_300,CSI 300,Legulegu via AkShare
2024-05-24,3601.48,11.58,30.96,20.22,11.53,1.23,2.73,2.1,8.635579,csi_300,CSI 300,Legulegu via AkShare
2024-05-27,3635.71,11.72,31.26,20.46,11.66,1.25,2.76,2.09,8.532423,csi_300,CSI 300,Legulegu via AkShare
2024-05-28,3609.17,11.67,30.99,20.35,11.62,1.24,2.74,2.1,8.56898,csi_300,CSI 300,Legulegu via AkShare
2024-05-29,3613.52,11.69,31.04,20.24,11.63,1.25,2.75,2.12,8.55432,csi_300,CSI 300,Legulegu via AkShare
2024-05-30,3594.31,11.61,31.12,20.3,11.56,1.24,2.75,2.09,8.613264,csi_300,CSI 300,Legulegu via AkShare
2024-05-31,3579.92,11.57,31.03,20.28,11.52,1.23,2.74,2.06,8.643042,csi_300,CSI 300,Legulegu via AkShare
2024-06-03,3588.75,11.62,31.03,20.46,11.57,1.24,2.75,2.05,8.605852,csi_300,CSI 300,Legulegu via AkShare
2024-06-04,3615.67,11.67,31.21,20.65,11.62,1.24,2.78,2.08,8.56898,csi_300,CSI 300,Legulegu via AkShare
2024-06-05,3594.79,11.61,31.11,20.59,11.56,1.24,2.77,2.07,8.613264,csi_300,CSI 300,Legulegu via AkShare
2024-06-06,3592.25,11.63,30.81,20.81,11.57,1.24,2.76,2.06,8.598452,csi_300,CSI 300,Legulegu via AkShare
2024-06-07,3574.11,11.6,30.66,20.75,11.54,1.24,2.75,2.08,8.62069,csi_300,CSI 300,Legulegu via AkShare
2024-06-11,3542.88,11.48,30.83,20.53,11.43,1.23,2.77,2.05,8.710801,csi_300,沪深300,Legulegu via AkShare
2024-06-12,3544.12,11.5,30.84,20.63,11.45,1.23,2.78,2.09,8.695652,csi_300,CSI 300,Legulegu via AkShare
2024-06-13,3526.13,11.48,30.79,20.52,11.43,1.23,2.79,2.07,8.710801,csi_300,CSI 300,Legulegu via AkShare
2024-06-14,3541.53,11.51,30.88,20.52,11.46,1.23,2.79,2.04,8.688097,csi_300,CSI 300,Legulegu via AkShare
2024-06-17,3536.2,11.46,29.81,20.17,11.42,1.23,2.87,2.11,8.726003,csi_300,CSI 300,Legulegu via AkShare
2024-06-18,3545.59,11.51,29.93,20.16,11.46,1.24,2.87,2.1,8.688097,csi_300,CSI 300,Legulegu via AkShare
2024-06-19,3528.75,11.51,29.64,19.95,11.46,1.24,2.9,2.1,8.688097,csi_300,CSI 300,Legulegu via AkShare
2024-06-20,3503.28,11.48,29.31,19.69,11.44,1.24,2.87,2.08,8.710801,csi_300,CSI 300,Legulegu via AkShare
2024-06-21,3495.62,11.46,29.36,19.58,11.41,1.24,2.87,2.07,8.726003,csi_300,CSI 300,Legulegu via AkShare
2024-06-24,3476.81,11.43,28.86,19.6,11.38,1.23,2.83,2.07,8.748906,csi_300,沪深300,Legulegu via AkShare
2024-06-25,3457.9,11.39,28.47,19.54,11.34,1.23,2.8,2.05,8.779631,csi_300,CSI 300,Legulegu via AkShare
2024-06-26,3480.26,11.43,29.0,19.72,11.38,1.23,2.84,2.06,8.748906,csi_300,CSI 300,Legulegu via AkShare
2024-06-27,3454.12,11.39,28.59,19.37,11.34,1.23,2.8,2.05,8.779631,csi_300,CSI 300,Legulegu via AkShare
2024-06-28,3461.66,11.48,28.65,19.29,11.43,1.24,2.8,2.07,8.710801,csi_300,CSI 300,Legulegu via AkShare
2024-07-01,3478.18,11.57,28.73,19.47,11.52,1.25,2.8,2.08,8.643042,csi_300,CSI 300,Legulegu via AkShare
2024-07-02,3471.79,11.62,28.43,19.39,11.57,1.26,2.78,2.07,8.605852,csi_300,CSI 300,Legulegu via AkShare
2024-07-03,3463.41,11.58,28.34,19.34,11.53,1.25,2.76,2.05,8.635579,csi_300,CSI 300,Legulegu via AkShare
2024-07-04,3445.81,11.56,27.99,19.07,11.51,1.25,2.73,2.05,8.650519,csi_300,CSI 300,Legulegu via AkShare
2024-07-05,3431.06,11.46,28.12,19.16,11.41,1.24,2.75,2.06,8.726003,csi_300,CSI 300,Legulegu via AkShare
2024-07-08,3401.76,11.43,27.71,18.73,11.38,1.24,2.72,2.02,8.748906,csi_300,CSI 300,Legulegu via AkShare
2024-07-09,3439.81,11.53,28.23,19.28,11.48,1.25,2.76,2.06,8.673027,csi_300,CSI 300,Legulegu via AkShare
2024-07-10,3428.97,11.47,28.24,19.06,11.42,1.25,2.76,2.04,8.718396,csi_300,CSI 300,Legulegu via AkShare
2024-07-11,3468.17,11.54,27.82,19.44,11.49,1.26,2.82,2.1,8.665511,csi_300,CSI 300,Legulegu via AkShare
2024-07-12,3472.4,11.55,27.76,19.39,11.49,1.26,2.81,2.1,8.658009,csi_300,CSI 300,Legulegu via AkShare
2024-07-15,3476.25,11.63,27.7,19.32,11.56,1.27,2.82,2.09,8.598452,csi_300,CSI 300,Legulegu via AkShare
2024-07-16,3498.28,11.65,28.06,19.57,11.59,1.28,2.86,2.09,8.583691,csi_300,CSI 300,Legulegu via AkShare
2024-07-17,3501.58,11.6,28.98,19.49,11.54,1.28,2.86,2.09,8.62069,csi_300,CSI 300,Legulegu via AkShare
2024-07-18,3520.93,11.69,29.08,19.54,11.62,1.29,2.88,2.09,8.55432,csi_300,CSI 300,Legulegu via AkShare
2024-07-19,3539.02,11.7,29.42,19.63,11.64,1.29,2.91,2.09,8.547009,csi_300,CSI 300,Legulegu via AkShare
2024-07-22,3514.92,11.58,29.32,19.49,11.52,1.27,2.9,2.08,8.635579,csi_300,CSI 300,Legulegu via AkShare
2024-07-23,3439.88,11.43,28.42,19.13,11.37,1.26,2.8,2.07,8.748906,csi_300,CSI 300,Legulegu via AkShare
2024-07-24,3418.17,11.41,28.14,19.08,11.34,1.26,2.78,2.04,8.764242,csi_300,沪深300,Legulegu via AkShare
2024-07-25,3399.27,11.32,28.1,18.82,11.25,1.25,2.77,2.05,8.833922,csi_300,CSI 300,Legulegu via AkShare
2024-07-26,3409.29,11.27,28.37,19.2,11.21,1.24,2.79,2.05,8.873114,csi_300,CSI 300,Legulegu via AkShare
2024-07-29,3390.74,11.27,29.0,18.97,11.21,1.24,2.76,2.06,8.873114,csi_300,CSI 300,Legulegu via AkShare
2024-07-30,3369.38,11.18,29.0,18.84,11.13,1.23,2.75,2.01,8.944544,csi_300,CSI 300,Legulegu via AkShare
